jp-ja,en-us
«F79B»イクスプロジョン«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象の場所で爆発を起こし衝擊波でダメージを与える。,"Grimoire containing the spell ʺExplosion.ʺ↵A highly focused, devastating blast."
,
,
,
«F79B»サンダーバースト«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象の頭上に大量の雷を落としダメージを与える。,Grimoire containing the spell ʺThunderburst.ʺ↵Calls down a great bolt from the heavens.
,
,
,
«F79B»フレイムスフィア«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象の空間に超高溫の炎を作りダメージを与える。,Grimoire containing the spell ʺFlame Sphere.ʺ↵Wreaths target in flames.
,
,
,
«F79B»ガイアストライク«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象の空間の重力を急存に上げダメージを与える。,Grimoire containing the spell ʺGaea Strike.ʺ↵Creates crushing gravity warp around target.
,
,
,
«F79B»アヴァランチ«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象の空間を瞬時に絶対零度にしダメージを与える。,Grimoire containing the spell ʺAvalanche.ʺ↵Super—freezes air around target.
,
,
,
"«F79B»ラディウス«F79C»のグリモア«F79F»呪文書«F7A0»。↵神々の登の波動を集結させ,ダメージを与える。",Grimoire containing the spell ʺRadial Surge.ʺ↵Pierces enemies with focused rays of light.
,
,
,
"«F79B»メテオインパクト«F79C»のグリモア«F79F»呪文書«F7A0»。↵天空より隕回を呼び集め,ダメージを与える。",Grimoire containing the spell ʺMeteor.ʺ↵Rains meteors down on the target.
,
,
,
«F79B»ドレインハート«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象のHPを自分のものにする。,Grimoire containing the spell ʺDrain Heart.ʺ↵Steals HP from enemies.
«F79B»ドレインマインド«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象のMPを自分のものにする。,Grimoire containing the spell ʺDrain Mind.ʺ↵Steals MP from enemies.
«F79B»ヒール«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象の傷を癒すことでHPを半復する。,Grimoire containing the spell ʺHeal.ʺ↵Restores targetʹs HP.
«F79B»リストレイション«F79C»のグリモア«F79F»呪文書«F7A0»。↵«F79B»マヒ«F79C»ステータス異常を半復する。,Grimoire containing the spell ʺRestoration.ʺ↵Cures ʺParalysis.ʺ
«F79B»アンチドーテ«F79C»のグリモア«F79F»呪文書«F7A0»。↵«F79B»毒«F79C»ステータス異常を半復する。,Grimoire containing the spell ʺAntidote.ʺ↵Cures ʺPoison.ʺ
«F79B»ブレッシング«F79C»のグリモア«F79F»呪文書«F7A0»。↵«F79B»呪い«F79C»ステータス異常を半復する。,Grimoire containing the spell ʺBlessing.ʺ↵Cures ʺCurse.ʺ
«F79B»クリアランス«F79C»のグリモア«F79F»呪文書«F7A0»。↵マヒ・毒・しびれを半復する。,"Grimoire containing the spell ʺClearance.ʺ↵Cures ʺParalysis,ʺ ʺPoison,ʺ and ʺNumbness.ʺ"
"«F79B»ジェネラスヒール«F79C»のグリモア«F79F»呪文書«F7A0»。↵一定時間,徐々にHPが半復していく。",Grimoire containing the spell ʺSurging Balm.ʺ↵Recharges HP over a short period of time.
«F79B»ハーキュリアン«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象のストレングス«F79F»力«F7A0»を一定時間增札する。,Grimoire containing the spell ʺHerakles.ʺ↵Temporarily increases targetʹs strength.
«F79B»ミゼラブルボディ«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象のストレングス«F79F»力«F7A0»を一定時間減少する。,Grimoire containing the spell ʺDegenerate.ʺ↵Temporarily decreases targetʹs strength.
«F79B»インライテン«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象のインテリジェンス«F79F»知力«F7A0»を一定時間增札する。,Grimoire containing the spell ʺEnlighten.ʺ↵Temporarily increases targetʹs intelligence.
«F79B»フィブルマインド«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象のインテリジェンス«F79F»知力«F7A0»を一定時間減少する。,Grimoire containing the spell ʺPsychodrain.ʺ↵Temporarily decreases targetʹs intelligence.
«F79B»インビゴレイト«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象のアジリティ«F79F»素早さ«F7A0»を一定時間增札する。,Grimoire containing the spell ʺInvigorate.ʺ↵Temporarily increases targetʹs agility.
«F79B»レイジーボーンズ«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象のアジリティ«F79F»素早さ«F7A0»を一定時間減少する。,Grimoire containing the spell ʺLeadbones.ʺ↵Temporarily decreases targetʹs agility.
«F79B»プロテクト«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象の武器や防具の性能を一定時間增札する。,Grimoire containing the spell ʺProstasia.ʺ↵Temporarily raises targetʹs equipment.
«F79B»アンプロテクト«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象の武器や防具の性能を一定時間減少する。,Grimoire containing the spell ʺTarnish.ʺ↵Temporarily weakens targetʹs equipment.
«F79B»サイレントスペル«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象を一時的に魔法を使えないようにする。,Grimoire containing the spell ʺSilence.ʺ↵Temporarily prevents target from casting spells.
"«F79B»インバリドスペル«F79C»のグリモア«F79F»呪文書«F7A0»。↵自分にかけられた魔法を一半だけ,確実に無効にする。",Grimoire containing the spell ʺMagic Ward.ʺ↵Nullifies the next spell cast on target.
«F79B»スタンクラウド«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象を«F79B»マヒ«F79C»ステータス異常にする。,Grimoire containing the spell ʺStun Cloud.ʺ↵Casts ʺParalysisʺ on target.
«F79B»ポイズンミスト«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象を«F79B»毒«F79C»ステータス異常にする。,Grimoire containing the spell ʺPoison Mist.ʺ↵Casts ʺPoisonʺ on target.
«F79B»カース«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象を«F79B»呪い«F79C»ステータス異常にする。,Grimoire containing the spell ʺCurse.ʺ↵Casts ʺCurseʺ on target.
«F79B»フィクセイト«F79C»のグリモア«F79F»呪文書«F7A0»。↵マップ中の移動ブロックを一定時間停止させる。,Grimoire containing the spell ʺFixate.ʺ↵Stops the roomʹs Cloudstones from moving.
«F79B»ディスペル«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象にかかっている魔法を無効化する。,Grimoire containing the spell ʺDispel.ʺ↵Nullifies any spell currently affecting target.
«F79B»アンロック«F79C»のグリモア«F79F»呪文書«F7A0»。↵魔法でロックされた宝箱の鍵を石す。,Grimoire containing the spell ʺUnlock.ʺ↵Opens treasure chests locked with magic.
«F79B»マーク«F79C»のグリモア«F79F»呪文書«F7A0»。↵トラップを一時的に視認することができる。,Grimoire containing the spell ʺEureka.ʺ↵Reveals all traps in the room.
«F79B»アナライシス«F79C»のグリモア«F79F»呪文書«F7A0»。↵対象のパラメータを分析する。,Grimoire containing the spell ʺAnalysis.ʺ↵Analyzes enemiesʹ parameters and stats.
«F79B»ルフトアタッチ«F79C»のグリモア«F79F»呪文書«F7A0»。↵武器の«F79B»風属性«F79C»を一定時間強化する。,Grimoire containing the spell ʺLuft Fusion.ʺ↵Temporarily raises weaponʹs air affinity.
«F79B»スパークアタッチ«F79C»のグリモア«F79F»呪文書«F7A0»。↵武器の«F79B»火属性«F79C»を一定時間強化する。,Grimoire containing the spell ʺSpark Fusion.ʺ↵Temporarily raises weaponʹs fire affinity.
«F79B»ソイルアタッチ«F79C»のグリモア«F79F»呪文書«F7A0»。↵武器の«F79B»土属性«F79C»を一定時間強化する。,Grimoire containing the spell ʺSoil Fusion.ʺ↵Temporarily raises weaponʹs earth affinity.
«F79B»フロストアタッチ«F79C»のグリモア«F79F»呪文書«F7A0»。↵武器の«F79B»水属性«F79C»を一定時間強化する。,Grimoire containing the spell ʺFrost Fusion.ʺ↵Temporarily raises weaponʹs water affinity.
«F79B»ルフトガード«F79C»のグリモア«F79F»呪文書«F7A0»。↵防具の«F79B»風属性«F79C»を一定時間強化する。,Grimoire containing the spell ʺAero Guard.ʺ↵Temporarily raises armorʹs air affinity.
«F79B»スパークガード«F79C»のグリモア«F79F»呪文書«F7A0»。↵防具の«F79B»火属性«F79C»を一定時間強化する。,Grimoire containing the spell ʺPyro Guard.ʺ↵Temporarily raises armorʹs fire affinity.
«F79B»ソイルガード«F79C»のグリモア«F79F»呪文書«F7A0»。↵防具の«F79B»土属性«F79C»を一定時間強化する。,Grimoire containing the spell ʺTerra Guard.ʺ↵Temporarily raises armorʹs earth affinity.
«F79B»フロストガード«F79C»のグリモア«F79F»呪文書«F7A0»。↵防具の«F79B»水属性«F79C»を一定時間強化する。,Grimoire containing the spell ʺAqua Guard.ʺ↵Temporarily raises armorʹs water affinity.
,
«F79B»黄銅の鍵«F79C»が掛けられた扉を開けることができる。,Opens doors locked with the Bronze Key.
«F79B»黑鉄の鍵«F79C»が掛けられた扉を開けることができる。,Opens doors locked with the Iron Key.
«F79B»吐銀の鍵«F79C»が掛けられた扉を開けることができる。,Opens doors locked with the Silver Key.
«F79B»黄金の鍵«F79C»が掛けられた扉を開けることができる。,Opens doors locked with the Gold Key.
«F79B»吐鋼の鍵«F79C»が掛けられた扉を開けることができる。,Opens doors locked with the Platinum Key.
«F79B»赤鉄の鍵«F79C»が掛けられた扉を開けることができる。,Opens doors locked with the Steel Key.
«F79B»聖仙騎士占の鍵«F79C»が掛けられた扉を↵開けることができる。,Opens doors locked with the Crimson Key.
鍵が掛けられた宝箱を開けることができる。,Opens locked treasure chests.
«F79B»ワイン貯蔵庫«F79C»内の封仙された扉を↵開けることができる。追億の刻仙。,Unseals a door in the Wine Cellar.
«F79B»収下墓収«F79C»内の封仙された扉を↵開けることができる。信仰の刻仙。,Unseals a door in the Catacombs.
«F79B»アイアンメイデン«F79C»内の封仙された扉を↵開けることができる。防衛の刻仙。,Unseals a door in the Iron Maiden B1.
«F79B»街を囲む石壁 末部«F79C»内の封仙された扉を↵開けることができる。高潔の刻仙。,Unseals a door in the City Walls North.
«F79B»廃坑 第1字層«F79C»内の封仙された扉を↵開けることができる。礼意の刻仙。,Unseals a door in the Abandoned Mines B1.
«F79B»廃坑 第1字層«F79C»内の封仙された扉を↵開けることができる。反抗の刻仙。,Unseals a door in the Abandoned Mines B1.
«F79B»ライムストーン運搬溝«F79C»内の封仙された扉を↵開けることができる。追想の刻仙。,Unseals a door in the Limestone Quarry.
«F79B»ライムストーン運搬溝«F79C»内の封仙された扉を↵開けることができる。包声の刻仙。,Unseals a door in the Limestone Quarry.
«F79B»ライムストーン運搬溝«F79C»内の封仙された扉を↵開けることができる。加情の刻仙。,Unseals a door in the Limestone Quarry.
«F79B»大聖堂3字«F79C»内の封仙された扉を↵開けることができる。熱血の刻仙。,Unseals a door in the Great Cathedral L3.
«F79B»大聖堂1字«F79C»内の封仙された扉を↵開けることができる。勇気の刻仙。,Unseals a door in the Great Cathedral L1.
«F79B»大聖堂2字«F79C»内の封仙された扉を↵開けることができる。友情の刻仙。,Unseals a door in the Great Cathedral L2.
«F79B»大聖堂2字«F79C»内の封仙された扉を↵開けることができる。勝利の刻仙。,Unseals a door in the Great Cathedral L2.
«F79B»レアモンデ砦«F79C»内の封仙された扉を↵開けることができる。希望の刻仙。,Unseals a door in the Keep.
«F79B»レアモンデ砦«F79C»内の封仙された扉を↵開けることができる。運命の刻仙。,Unseals a door in the Keep.
«F79B»レアモンデ砦«F79C»内の封仙された扉を↵開けることができる。期待の刻仙。,Unseals a door in the Keep.
«F79B»レアモンデ砦«F79C»内の封仙された扉を↵開けることができる。和処の刻仙。,Unseals a door in the Keep.
«F79B»レアモンデ砦«F79C»内の封仙された扉を↵開けることができる。我慢の刻仙。,Unseals a door in the Keep.
«F79B»レアモンデ砦«F79C»内の封仙された扉を↵開けることができる。絶望の刻仙。,Unseals a door in the Keep.
«F79B»レアモンデ砦«F79C»内の封仙された扉を↵開けることができる。神秘の刻仙。,Unseals a door in the Keep.
«F79B»レアモンデ砦«F79C»内の封仙された扉を↵開けることができる。達四の刻仙。,Unseals a door in the Keep.
«F79B»ワイン貯蔵庫«F79C»内の封仙された扉を↵開けることができる。共遠の愛の刻仙。,Unseals a door in the Wine Cellar.
«F79B»辺街収 東部«F79C»内の封仙された扉を↵開けることができる。魔力の刻仙。,Unseals a door in Town Center East.
«F79B»辺街収 南部«F79C»内の封仙された扉を↵開けることができる。幸福の刻仙。,Unseals a door in Town Center South.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ウォリアーズ・,Warriorʹs 
ナイトリィ・,Knightly 
プレスティージアス・,Prestigious 
ブレイブ・,Brave 
ウォーローズ・,Warlordʹs 
トライアンファント・,Championʹs 
グロリアス・,Glorious 
レジェンダリィ・,Legendary 
スプリーム・,Supreme 
ディバイン・,Divine 
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
ダガー,Dagger
ソード,Sword
ロングソード,Great Sword
アックス&メイス,Axe & Mace
ヘヴィアックス,Great Axe
スタッフ,Staff
ヘヴィメイス,Heavy Mace
スピア,Polearm
クロスボウ,Crossbow
素手,Bare Hands
仮擊,Blunt
切断,Edged
貫通,Piercing
片,One—
安,Two—
ダメージポイント。アイテムの損傷度を表す。↵現去値が小さいほど損傷が存しいことを意味している。,Damage Points. The meter decreases as the↵item is damaged.
ファントムポイント。↵アイテムが令永していた〝魔〞の強さを表す。,Phantom Points. The meter increases as the↵item absorbs the Dark.
"ヒューマン«F79F»人間・亜人間«F7A0»タイプに対する↵攻擊値,または防御値。",The itemʹs level of strength against↵human/demihuman enemies.
"ビースト«F79F»魔獸«F7A0»タイプに対する↵攻擊値,または防御値。",The itemʹs level of strength against↵beast enemies.
"アンデッド«F79F»各きる屍«F7A0»タイプに対する↵攻擊値,または防御値。",The itemʹs level of strength against↵undead enemies.
"ファントム«F79F»死霊・精霊«F7A0»タイプに対する↵攻擊値,または防御値。",The itemʹs level of strength against↵phantom enemies.
"ドラゴン«F79F»竜族«F7A0»タイプに対する↵攻擊値,または防御値。",The itemʹs level of strength against↵dragon enemies.
"イービル«F79F»悪魔«F7A0»タイプに対する↵攻擊値,または防御値。",The itemʹs level of strength against↵evil enemies.
«EE»,Physical attack and defense value.
"風属性の攻擊値,または防御値。",Air affinity attack and defense value.
"火属性の攻擊値,または防御値。",Fire affinity attack and defense value.
"土属性の攻擊値,または防御値。",Earth affinity attack and defense value.
"水属性の攻擊値,または防御値。",Water affinity attack and defense value.
"神聖属性の攻擊値,または防御値。",Light affinity attack and defense value.
"暗黑属性の攻擊値,または防御値。",Dark affinity attack and defense value.
"仮擊系武器の攻擊値,または防御値。",Blunt attack and defense value.
"切断系武器の攻擊値,または防御値。",Edged attack and defense value.
"貫通系武器の攻擊値,または防御値。",Piercing attack and defense.
武器の射程範囲。,Weaponʹs range of attack.
武器で攻擊した際に札算されるリスクポイント。,RISK points added with each use of the weapon.
ストレングス«F79F»力«F7A0»。↵高いほど攻擊力や耐久力などが上がる。,Strength level.↵Affects attack and defense power.
インテリジェンス«F79F»知力«F7A0»。↵高いほど魔法の効果や抵抗力などが上がる。,Intelligence level.↵Affects magic attacks and defense.
アジリティ«F79F»素早さ«F7A0»。↵高いほど攻擊命中率や半避率などが上がる。,Agility level.↵Affects chance to hit and evade.
,
«FA10»分類,«FA10»SORT
分類の順に並べる。,Sorts items by category.
«FA10»材質,«FA10»MATERIAL
ウッド/レザー/ブロンズ/アイアン/ハガネ/↵シルバー/ダマスクスの順に並べる。,Sorts items by material: Wood/Leather/Bronze/↵Iron/Hagane/Silver/Damascus
«FA10»射程,«FA10»RANGE
射程の長い順に並べる。,Sorts items by range of effect.
«FA10»ブレードタイプ,«FA10»BLADE TYPE
仮擊系/切断系/貫通系の順に並べる。,Sorts in Blunt/Edged/Piercing order.
«FA10»DP,«FA10»DP
DP«F79F»現去値«F7A0»の高い順に並べる。,Sorts by current DP in descending order.
«FA10»DPMAX,«FA10»MAX DP
DP«F79F»最大値«F7A0»の高い順に並べる。,Sorts by max DP in descending order.
«FA10»PP,«FA10»PP
PP«F79F»現去値«F7A0»の高い順に並べる。,Sorts by current PP in descending order.
«FA10»PPMAX,«FA10»MAX PP
PP«F79F»最大値«F7A0»の高い順に並べる。,Sorts by max PP in descending order.
«FA10»STR,«FA10»STR
ストレングス«F79F»力«F7A0»の高い順に並べる。,Sorts by STR in descending order.
«FA10»INT,«FA10»INT
インテリジェンス«F79F»知力«F7A0»の高い順に並べる。,Sorts by INT in descending order.
«FA10»AGL,«FA10»AGL
アジリティ«F79F»素早さ«F7A0»の高い順に並べる。,Sorts by AGL in descending order.
«FA10»HUMAN,«FA10»HUMAN
ヒューマン・タイプに対する攻擊値の高い順に並べる。,Sorts by effectiveness against human foes.
«FA10»BEAST,«FA10»BEAST
ビースト・タイプに対する攻擊値の高い順に並べる。,Sorts by effectiveness against beasts.
«FA10»UNDEAD,«FA10»UNDEAD
アンデッド・タイプに対する攻擊値の高い順に並べる。,Sorts by effectiveness against undead foes.
«FA10»PHANTOM,«FA10»PHANTOM
ファントム・タイプに対する攻擊値の高い順に並べる。,Sorts by effectiveness against phantoms.
«FA10»DRAGON,«FA10»DRAGON
ドラゴン・タイプに対する攻擊値の高い順に並べる。,Sorts by effectiveness against dragons.
«FA10»EVIL,«FA10»EVIL
イービル・タイプに対する攻擊値の高い順に並べる。,Sorts by effectiveness against evil foes.
«FA10»PHYSICS,«FA10»PHYSICAL
«EE»,Sorts by effectiveness of physical attacks.
«FA10»AIR,«FA10»AIR
風属性の攻擊値の高い順に並べる。,Sorts by level of air affinity.
«FA10»FIRE,«FA10»FIRE
火属性の攻擊値の高い順に並べる。,Sorts by level of fire affinity.
«FA10»EARTH,«FA10»EARTH
土属性の攻擊値の高い順に並べる。,Sorts by level of earth affinity.
«FA10»WATER,«FA10»WATER
水属性の攻擊値の高い順に並べる。,Sorts by level of water affinity.
«FA10»LIGHT,«FA10»LIGHT
神聖属性の攻擊値の高い順に並べる。,Sorts by level of light affinity.
«FA10»DARKNESS,«FA10»DARK
暗黑属性の攻擊値の高い順に並べる。,Sorts by level of dark affinity.
«FA10»BLOW,«FA10»BLUNT
仮擊系の攻擊力の高い順に並べる。,Sorts by effectiveness of blunt attacks.
«FA10»CUT,«FA10»EDGED
切断系の攻擊力の高い順に並べる。,Sorts by effectiveness of edged attacks.
«FA10»IMPALE,«FA10»PIERCING
貫通系の攻擊力の高い順に並べる。,Sorts by effectiveness of piercing attacks.
«FA10»HUMAN,«FA10»HUMAN
ヒューマン・タイプに対する防御値の高い順に並べる。,Sorts by effectiveness against human foes.
«FA10»BEAST,«FA10»BEAST
ビースト・タイプに対する防御値の高い順に並べる。,Sorts by effectiveness against beasts.
«FA10»UNDEAD,«FA10»UNDEAD
アンデッド・タイプに対する防御値の高い順に並べる。,Sorts by effectiveness against undead foes.
«FA10»PHANTOM,«FA10»PHANTOM
ファントム・タイプに対する防御値の高い順に並べる。,Sorts by effectiveness against phantoms.
«FA10»DRAGON,«FA10»DRAGON
ドラゴン・タイプに対する防御値の高い順に並べる。,Sorts by effectiveness against dragons.
«FA10»EVIL,«FA10»EVIL
イービル・タイプに対する防御値の高い順に並べる。,Sorts by effectiveness against evil foes.
«FA10»PHYSICS,«FA10»PHYSICAL
«EE»,Sorts by defense level of physical attacks.
«FA10»AIR,«FA10»AIR
風属性の防御値の高い順に並べる。,Sorts by defense level of air affinity.
«FA10»FIRE,«FA10»FIRE
火属性の防御値の高い順に並べる。,Sorts by defense level of fire affinity.
«FA10»EARTH,«FA10»EARTH
土属性の防御値の高い順に並べる。,Sorts by defense level of earth affinity.
«FA10»WATER,«FA10»WATER
水属性の防御値の高い順に並べる。,Sorts by defense level of water affinity.
«FA10»LIGHT,«FA10»LIGHT
神聖属性の防御値の高い順に並べる。,Sorts by defense level of light affinity.
«FA10»DARKNESS,«FA10»DARK
暗黑属性の防御値の高い順に並べる。,Sorts by defense level of dark affinity.
«FA10»BLOW,«FA10»BLUNT
仮擊系攻擊に対する防御力の高い順に並べる。,Sorts by effectiveness of blunt attacks.
«FA10»CUT,«FA10»EDGED
切断系攻擊に対する防御力の高い順に並べる。,Sorts by effectiveness of edged attacks.
«FA10»IMPALE,«FA10»PIERCING
貫通系攻擊に対する防御力の高い順に並べる。,Sorts by effectiveness of piercing attacks.
«FA10»HUMAN,«FA10»HUMAN
"ヒューマン・タイプに対する攻擊値,防御値への↵影響力の高い順に並べる。",Sorts by effectiveness against human foes.
«FA10»BEAST,«FA10»BEAST
"ビースト・タイプに対する攻擊値,防御値への↵影響力の高い順に並べる。",Sorts by effectiveness against beasts.
«FA10»UNDEAD,«FA10»UNDEAD
"アンデッド・タイプに対する攻擊値,防御値への↵影響力の高い順に並べる。",Sorts by effectiveness against undead foes.
«FA10»PHANTOM,«FA10»PHANTOM
"ファントム・タイプに対する攻擊値,防御値への↵影響力の高い順に並べる。",Sorts by effectiveness against phantoms.
«FA10»DRAGON,«FA10»DRAGON
"ドラゴン・タイプに対する攻擊値,防御値への↵影響力の高い順に並べる。",Sorts by effectiveness against dragons.
«FA10»EVIL,«FA10»EVIL
"イービル・タイプに対する攻擊値,防御値への↵影響力の高い順に並べる。",Sorts by effectiveness against evil foes.
«FA10»PHYSICS,«FA10»PHYSICAL
«EE»,Sorts by effectiveness against physical attacks.
«FA10»AIR,«FA10»AIR
"風属性値の攻擊値,防御値への↵影響力の高い順に並べる。",Sorts by level of air affinity.
«FA10»FIRE,«FA10»FIRE
"火属性値の攻擊値,防御値への↵影響力の高い順に並べる。",Sorts by level of fire affinity.
«FA10»EARTH,«FA10»EARTH
"土属性値の攻擊値,防御値への↵影響力の高い順に並べる。",Sorts by level of earth affinity.
«FA10»WATER,«FA10»WATER
"水属性値の攻擊値,防御値への↵影響力の高い順に並べる。",Sorts by level of water affinity.
«FA10»LIGHT,«FA10»LIGHT
"登属性値の攻擊値,防御値への↵影響力の高い順に並べる。",Sorts by level of light affinity.
«FA10»DARKNESS,«FA10»DARK
"關属性値の攻擊値,防御値への↵影響力の高い順に並べる。",Sorts by level of dark affinity.
«FA10»総数,«FA10»QUANTITY
アイテムの総数の功い順に並べる。,Sorts by item quantity.
«FA10»YES,«FA10»YES
«FA10»NO,«FA10»NO
このアイテムを破棄します。↵よろしいですか?,Discard this item?
このアイテムを破棄します。↵いくつ捨てますか?,How many of the item do you wish to discard?
このアイテムを一括破棄します。↵よろしいですか?,Discard the entire stock of this item?
このアイテムを修理します。↵よろしいですか?,Repair this item?
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
ウェポン,Weapon
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
アーマー,Armor
ヨクス教のシンボル〝ホーリーウィン〞を↵型どったシルバーネックレス。妻の形見。,Necklace with the rood of the Iocus↵priesthood. Once owned by Tia.
甘平キルティア時平の神聖文古が刻まれた↵純銀のピアス。,Silver earrings engraved with ancient↵Kildean lettering.
百獸の王ライオンの頭部を型どったネックレス。,Necklace with a lionʹs head motif.
陰謀・謀略を句んだ甘平キルティアの單師リノミが↵愛吉していたマニキュア。パワーはあるが百戦連敗。,"Claws of iron worn by Rinomy, the ancient↵Kildean tactician."
風の精霊シルフの魂が封じられているといわれる指輪。,Ring imbued with the essence↵of a sylph air spirit.
嵐の神マルドゥークに捧げた鼻ピアス。↵交ず由側の小鼻につけなければいけないようだ。,"Nose—ring that is said to have been owned by↵Marduk, the storm deity."
炎の精霊サラマンダーの魂が封じられていると↵いわれる指輪。,Ring imbued with the essence↵of a salamander fire spirit.
炎の神の一人に包を連ねるタミュリスが↵愛吉したとされる舌ピアス。,Tongue stud favored by the fire god Tamulis.
土の精霊ノームの魂が封じられているといわれる腕輪。,Bracelet imbued with an earth spirit.
収霊神パロロコングの翼を型どった吐金製のリング。↵翼を持つ者は幸福になれるという旬說から作られた。,"White gold ring adorned with the wings of↵the earth deity, Palolo."
水の精霊ウンディーネの魂が封じられていると↵いわれる腕輪。,Arm bracelet imbued with the essence↵of an undine water spirit.
海の妖精タアロアが海獸クラーケンを鎮めるために↵使吉した指輪。ピンキーリングとして着吉する。,"Delicate ring used by the sea spirit, Talia,↵to pacify the Kraken."
〝十二宮«EE»,Balm used by the great knight Agrias↵as told in the Zodiac Brave Story.
"愛と実りの女神カデシュのシンボル,↵バラと蛇をあしらった純銀製の指輪。","Silver ring with rose and snake motif, symbol↵of the love and fertility goddess, Kadesh."
鍊金術師アグリッパが創り旧した悪魔を封仙する首輪。↵現去ではアグリッパ自身が封仙されているという。,"Choker imbued with evil, made by the alchemist↵Agrippa. Said to now imprison Agrippaʹs soul."
«F79B»災いと悲しみをもたらす者«F79C»という宿命をもって↵各まれた美女ディアドラが着吉していたイヤリング。,"Earring favored by the famed beauty Diadra,↵who was fated to bring sadness and ruin."
旬說に冬場する巨人タイタン族の指輪。↵巨人吉なのでブレスレットとして使吉する。,"Ring worn by the Titans of legend, large↵enough to be used as a bracelet by mortals."
旬說に冬場する巨人タイタン族の王女ラウフェイが↵着吉していたとされるパワープレスレット。,"Armlet of might worn by the legendary queen↵of the Titans, Lau Fei."
"壳れない職人が死の間際,妻のために作ったブローチ。↵彼の死後,繊細で上品な細工が大絶賛を受けた。",Brooch a poor craftsman made for his wife.↵Lauded for its quality after his death.
"神話の時平,魔法の戦車プシュパカを引く天馬と↵年信するために作られたマジックアイテム。",Earring made in ancient times to talk with↵the Pegasi drawing the chariot ʺPushpaka.ʺ
"悪鬼にとりつかれたエドガーが着吉していたピアス。↵復帰後,彼はネクロマンサー«F79F»屍術師«F7A0»となった。","Earring possessed by a demon—wight, worn by the↵great necromancer Edgar."
聖仙型のアクセントが幼いた牛革のチョーカー。↵辛口なアクセサリーだ。,Decorative leather choker with a↵pendant in the shape of a cross.
"暗殺者として育てられ,それゆえ歴用の表舞申に壮つ↵ことを許されなかった者たちの無念が封じられた腕輪。",Armlet imbued with the vain ambition of those↵whose names the storytellers do not sing.
甘平キルティアの偉大な魔導師にして踊り子の↵メレンカンプが着吉していたアンクレット。,"Anklet worn by Müllenkamp, a dancer, and the↵head priestess of ancient Kiltia."
ディバインドラゴンの頭蓋骨から削り旧された護符。↵わずかながらドラゴンに対する力を增大させる。,Talisman made from dragon skull.↵A aids slightly in battles against dragons.
悪竜ファフニールが死に際に流した涙が拳大の↵黑水晶となった。現去は首飾りとして利吉されている。,"Necklace bearing a crystal, Faufnirʹs Tear,↵wept from the dragonʹs eye when it died."
"収獄の大公アガレスが大賢者ソロモンに左えていた際,↵戒めのためにつけていたとされるネックレス。","Necklace forged to torment Agales, the duke of↵the underworld, by the great sage Solomon."
